Year,Electricity Source,GWh
1990,Coal,4429911
1995,Coal,4993261
2000,Coal,5994185
2005,Coal,7316600
2010,Coal,8662447
2015,Coal,9534199
1990,Oil,1322975
1995,Oil,1228863
2000,Oil,1183808
2005,Oil,1129445
2010,Oil,970042
2015,Oil,1027686
1990,Natual Gas,1748624
1995,Natual Gas,2020958
2000,Natual Gas,2774747
2005,Natual Gas,3706208
2010,Natual Gas,4841878
2015,Natual Gas,5525879
1990,Biofuels,105435
1995,Biofuels,95068
2000,Biofuels,113780
2005,Biofuels,169500
2010,Biofuels,277740
2015,Biofuels,415631
1990,Nuclear,2012902
1995,Nuclear,2331951
2000,Nuclear,2590624
2005,Nuclear,2767952
2010,Nuclear,2756288
2015,Nuclear,2570070
1990,Hydro,2191674
1995,Hydro,2545918
2000,Hydro,2695591
2005,Hydro,3019509
2010,Hydro,3535266
2015,Hydro,3982151
1990,Geothermal,36426
1995,Geothermal,39895
2000,Geothermal,52171
2005,Geothermal,58284
2010,Geothermal,68094
2015,Geothermal,80562
1990,Solar,91
1995,Solar,197
2000,Solar,800
2005,Solar,3732
2010,Solar,32038
2015,Solar,250076
1990,Wind,3880
1995,Wind,7959
2000,Wind,31348
2005,Wind,104465
2010,Wind,342202
2015,Wind,833732
1990,Tide,536
1995,Tide,547
2000,Tide,546
2005,Tide,516
2010,Tide,513
2015,Tide,1006
1990,Waste,24142
1995,Waste,34770
2000,Waste,49544
2005,Waste,58142
2010,Waste,89291
2015,Waste,101843
1990,Other Sources,19939
1995,Other Sources,23864
2000,Other Sources,22049
2005,Other Sources,32983
2010,Other Sources,33704
2015,Other Sources,35741
1990,Solar Thermal,663
1995,Solar Thermal,824
2000,Solar Thermal,526
2005,Solar Thermal,597
2010,Solar Thermal,1645
2015,Solar Thermal,9605
