Year,CO2(Mt)
1850,925.52
1851,951.64
1852,981.95
1853,1014.3
1854,1075.68
1855,1105.04
1856,1144.66
1857,1167.54
1858,1191.63
1859,1232.48
1860,1282.95
1861,1318.04
1862,1344.99
1863,1395.88
1864,1449.58
1865,1494.09
1866,1528.74
1867,1594.83
1868,1637.6
1869,1701.04
1870,1738.19
1871,1799.66
1872,1909.21
1873,1991.3
1874,1972.06
1875,2058.74
1876,2096.16
1877,2155.76
1878,2183.73
1879,2294.94
1880,2443.19
1881,2507.49
1882,2607.64
1883,2708.33
1884,2756.26
1885,2789.79
1886,2842.28
1887,2935.27
1888,3143.23
1889,3125.7
1890,3278
1891,3367.52
1892,3413.67
1893,3427.97
1894,3508.15
1895,3626.26
1896,3706.5
1897,3810.11
1898,3931.62
1899,4117.04
1900,4248.69
1901,4340.43
1902,4427.66
1903,4656.57
1904,4717.19
1905,4913.27
1906,5075.03
1907,5446.31
1908,5372.94
1909,5526.68
1910,5703.09
1911,5791.52
1912,5980.22
1913,6286.63
1914,6023.15
1915,6032.34
1916,6335.27
1917,6531.91
1918,6540.27
1919,6114.46
1920,6630.1
1921,6226.59
1922,6414.35
1923,6912.96
1924,6954.86
1925,7027.63
1926,7011.26
1927,7405.86
1928,7426.71
1929,7775.15
1930,7473.68
1931,7065.61
1932,6746.42
1933,6944.78
1934,7264.24
1935,7485.89
1936,7891.01
1937,8230.21
1938,8002.73
1939,8287.4
1940,8734.26
1941,8930.61
1942,9065.47
1943,9381.64
1944,9531.2
1945,8890.06
1946,9457.17
1947,10146.73
1948,10611.88
1949,10558.92
1950,11063.88
1951,11614.47
1952,11873.01
1953,12226.32
1954,12547.51
1955,13410.65
1956,14117.7
1957,14568.35
1958,15002.86
1959,15632.65
1960,16277.19
1961,16488.75
1962,16984.49
1963,17697.14
1964,18405.69
1965,19108.12
1966,19878.45
1967,20496.79
1968,21410.18
1969,22492.68
1970,23839.07
1971,24594.81
1972,25554.19
1973,26963.66
1974,26985.35
1975,26827.33
1976,28211.34
1977,28703.65
1978,29780.13
1979,30185.74
1980,29891.46
1981,29003.72
1982,28752.26
1983,28903.79
1984,29549.85
1985,30256.94
1986,30593.59
1987,31332.08
1988,32676.51
1989,33147.13
1990,32425.66
1991,32792.03
1992,31988.13
1993,32110.38
1994,32312.06
1995,32972.34
1996,33755.54
1997,33826.97
1998,33716.64
1999,34003.82
2000,34785.74
2001,35058.47
2002,35666.88
2003,37209.19
2004,38771.9
2005,39946.06
2006,41066.18
2007,42064.59
2008,42821.36
2009,42345.46
2010,44301.18
2011,45517.39
2012,46157.5
2013,46236.93
2014,46662.56
2015,46856.03
2016,47156.33
