Year,Source,TWh
1965,Coal,16153.09043
1966,Coal,16337.15312
1967,Coal,16073.65838
1968,Coal,16314.18759
1969,Coal,16812.17483
1970,Coal,17072.25501
1971,Coal,16979.53202
1972,Coal,17168.056
1973,Coal,17681.98383
1974,Coal,17696.19686
1975,Coal,18038.9574
1976,Coal,18703.4358
1977,Coal,19256.6867
1978,Coal,19473.46339
1979,Coal,20379.82194
1980,Coal,20874.2879
1981,Coal,21166.59257
1982,Coal,21401.53039
1983,Coal,22062.64007
1984,Coal,23017.90831
1985,Coal,24005.3517
1986,Coal,24275.43508
1987,Coal,25230.43364
1988,Coal,25985.39822
1989,Coal,26234.42531
1990,Coal,25915.69195
1991,Coal,25663.2681
1992,Coal,25570.37887
1993,Coal,25695.64827
1994,Coal,25794.16047
1995,Coal,25975.10548
1996,Coal,26593.38139
1997,Coal,26548.03396
1998,Coal,26380.64461
1999,Coal,26543.11051
2000,Coal,27439.22483
2001,Coal,27874.76344
2002,Coal,28967.77601
2003,Coal,31521.68081
2004,Coal,33691.24566
2005,Coal,36199.69327
2006,Coal,38101.10017
2007,Coal,40255.77097
2008,Coal,40803.06407
2009,Coal,40180.71944
2010,Coal,42030.798
2011,Coal,44053.25682
2012,Coal,44220.65755
2013,Coal,45029.42585
2014,Coal,44990.36265
2015,Coal,43879.21298
2016,Coal,43230.16122
2017,Coal,43394.16135
2018,Coal,44144.71399
2019,Coal,43884.25904
1965,Gas,6308.841968
1966,Gas,6874.289562
1967,Gas,7379.938604
1968,Gas,8050.76696
1969,Gas,8840.484801
1970,Gas,9622.483572
1971,Gas,10300.42642
1972,Gas,10870.04819
1973,Gas,11385.82126
1974,Gas,11665.57263
1975,Gas,11670.40341
1976,Gas,12364.94641
1977,Gas,12770.83659
1978,Gas,13306.05427
1979,Gas,14131.16863
1980,Gas,14249.37752
1981,Gas,14406.63393
1982,Gas,14480.34012
1983,Gas,14714.5531
1984,Gas,15914.26924
1985,Gas,16273.90313
1986,Gas,16433.01486
1987,Gas,17294.42126
1988,Gas,18102.07614
1989,Gas,18885.63192
1990,Gas,19500.00804
1991,Gas,19992.02704
1992,Gas,20082.84671
1993,Gas,20285.30172
1994,Gas,20409.6397
1995,Gas,21125.43551
1996,Gas,22181.17253
1997,Gas,22051.9652
1998,Gas,22455.85292
1999,Gas,23094.42209
2000,Gas,24019.06776
2001,Gas,24350.39193
2002,Gas,25072.92129
2003,Gas,25772.5923
2004,Gas,26756.94007
2005,Gas,27485.86758
2006,Gas,28198.17001
2007,Gas,29347.13273
2008,Gas,30048.32555
2009,Gas,29434.53396
2010,Gas,31632.0262
2011,Gas,32396.86528
2012,Gas,33246.58138
2013,Gas,33793.1249
2014,Gas,34021.44705
2015,Gas,34807.91698
2016,Gas,35618.47937
2017,Gas,36614.8813
2018,Gas,38547.43337
2019,Gas,39323.87009
1965,Other Sources,49.99894523
1966,Other Sources,55.06069917
1967,Other Sources,55.56266666
1968,Other Sources,61.49372537
1969,Other Sources,64.65714097
1970,Other Sources,71.42708484
1971,Other Sources,77.50408833
1972,Other Sources,83.05834028
1973,Other Sources,89.19608822
1974,Other Sources,94.40550176
1975,Other Sources,95.86462658
1976,Other Sources,106.9214573
1977,Other Sources,112.7639091
1978,Other Sources,119.4495884
1979,Other Sources,128.3507341
1980,Other Sources,137.2913115
1981,Other Sources,147.7696281
1982,Other Sources,170.6101482
1983,Other Sources,189.0898534
1984,Other Sources,211.3056269
1985,Other Sources,216.2624046
1986,Other Sources,237.9099902
1987,Other Sources,254.7671356
1988,Other Sources,262.1004228
1989,Other Sources,290.0882436
1990,Other Sources,325.1499252
1991,Other Sources,339.1126686
1992,Other Sources,364.0183259
1993,Other Sources,376.0832864
1994,Other Sources,390.3388967
1995,Other Sources,406.8854213
1996,Other Sources,418.5724495
1997,Other Sources,448.3771422
1998,Other Sources,469.1586626
1999,Other Sources,493.1535362
2000,Other Sources,517.233371
2001,Other Sources,529.9738519
2002,Other Sources,566.2815263
2003,Other Sources,594.1821239
2004,Other Sources,637.4245985
