Entity,Code,Year,Fossil fuels per capita (kWh)
Africa,,1965,2058.24
Africa,,1966,2103.54
Africa,,1967,2063.60
Africa,,1968,2107.27
Africa,,1969,2082.55
Africa,,1970,2186.51
Africa,,1971,2344.49
Africa,,1972,2407.31
Africa,,1973,2544.00
Africa,,1974,2577.00
Africa,,1975,2655.44
Africa,,1976,2825.96
Africa,,1977,2878.72
Africa,,1978,2915.92
Africa,,1979,3115.87
Africa,,1980,3281.68
Africa,,1981,3572.76
Africa,,1982,3726.83
Africa,,1983,3754.57
Africa,,1984,3760.12
Africa,,1985,3774.41
Africa,,1986,3736.26
Africa,,1987,3775.85
Africa,,1988,3915.55
Africa,,1989,3807.00
Africa,,1990,3843.62
Africa,,1991,3721.57
Africa,,1992,3702.73
Africa,,1993,3635.52
Africa,,1994,3643.23
Africa,,1995,3691.83
Africa,,1996,3692.34
Africa,,1997,3667.61
Africa,,1998,3624.20
Africa,,1999,3641.54
Africa,,2000,3626.14
Africa,,2001,3679.40
Africa,,2002,3618.56
Africa,,2003,3719.93
Africa,,2004,3895.61
Africa,,2005,3832.02
Africa,,2006,3803.71
Africa,,2007,3842.81
Africa,,2008,3995.91
Africa,,2009,3964.02
Africa,,2010,3976.93
Africa,,2011,3884.95
Africa,,2012,3927.71
Africa,,2013,3918.43
Africa,,2014,3924.10
Africa,,2015,3882.19
Africa,,2016,3886.40
Africa,,2017,3860.35
Africa,,2018,3883.18
Africa,,2019,3855.49
Algeria,DZA,1965,1884.30
Algeria,DZA,1966,2230.71
Algeria,DZA,1967,2036.54
Algeria,DZA,1968,2098.96
Algeria,DZA,1969,2309.18
Algeria,DZA,1970,2422.67
Algeria,DZA,1971,2606.04
Algeria,DZA,1972,2825.08
Algeria,DZA,1973,3248.06
Algeria,DZA,1974,3556.84
Algeria,DZA,1975,4178.70
Algeria,DZA,1976,4737.91
Algeria,DZA,1977,5085.44
Algeria,DZA,1978,6221.54
Algeria,DZA,1979,7919.34
Algeria,DZA,1980,9176.11
Algeria,DZA,1981,10800.25
Algeria,DZA,1982,12061.60
Algeria,DZA,1983,12807.88
Algeria,DZA,1984,11893.95
Algeria,DZA,1985,11607.82
Algeria,DZA,1986,11979.55
Algeria,DZA,1987,11932.90
Algeria,DZA,1988,12473.14
Algeria,DZA,1989,11805.95
Algeria,DZA,1990,12212.23
Algeria,DZA,1991,11788.97
Algeria,DZA,1992,11826.21
Algeria,DZA,1993,10745.09
Algeria,DZA,1994,10683.72
Algeria,DZA,1995,10869.13
Algeria,DZA,1996,10576.29
Algeria,DZA,1997,10007.00
Algeria,DZA,1998,10191.55
Algeria,DZA,1999,10150.35
Algeria,DZA,2000,9657.44
Algeria,DZA,2001,9875.70
Algeria,DZA,2002,10101.54
Algeria,DZA,2003,10418.85
Algeria,DZA,2004,10677.07
Algeria,DZA,2005,11000.96
Algeria,DZA,2006,11254.16
Algeria,DZA,2007,11677.97
Algeria,DZA,2008,12172.47
Algeria,DZA,2009,12676.31
Algeria,DZA,2010,12144.61
Algeria,DZA,2011,12640.02
Algeria,DZA,2012,13549.44
Algeria,DZA,2013,14069.99
Algeria,DZA,2014,15027.38
Algeria,DZA,2015,15528.61
Algeria,DZA,2016,15190.10
Algeria,DZA,2017,15029.71
Algeria,DZA,2018,15872.33
Algeria,DZA,2019,16331.44
Argentina,ARG,1965,13981.43
Argentina,ARG,1966,14234.64
Argentina,ARG,1967,14443.33
Argentina,ARG,1968,14702.45
Argentina,ARG,1969,15005.92
Argentina,ARG,1970,13920.15
Argentina,ARG,1971,14569.49
Argentina,ARG,1972,14599.98
Argentina,ARG,1973,14827.69
Argentina,ARG,1974,14906.71
Argentina,ARG,1975,14110.28
Argentina,ARG,1976,14712.31
Argentina,ARG,1977,15195.94
Argentina,ARG,1978,14955.80
Argentina,ARG,1979,15414.11
Argentina,ARG,1980,14751.85
Argentina,ARG,1981,13937.71
Argentina,ARG,1982,13895.56
Argentina,ARG,1983,14140.19
Argentina,ARG,1984,13638.36
Argentina,ARG,1985,12867.38
Argentina,ARG,1986,14200.22
Argentina,ARG,1987,14576.80
Argentina,ARG,1988,15233.87
Argentina,ARG,1989,14565.50
Argentina,ARG,1990,13581.96
Argentina,ARG,1991,13670.76
Argentina,ARG,1992,14419.43
Argentina,ARG,1993,14398.31
Argentina,ARG,1994,14130.62
Argentina,ARG,1995,14694.89
Argentina,ARG,1996,15898.96
Argentina,ARG,1997,15015.52
Argentina,ARG,1998,15590.48
Argentina,ARG,1999,15470.22
Argentina,ARG,2000,15525.94
Argentina,ARG,2001,14530.04
Argentina,ARG,2002,13636.11
Argentina,ARG,2003,14782.31
Argentina,ARG,2004,15854.17
Argentina,ARG,2005,16741.80
Argentina,ARG,2006,17215.31
Argentina,ARG,2007,18401.42
Argentina,ARG,2008,18621.73
Argentina,ARG,2009,17755.56
Argentina,ARG,2010,18599.38
Argentina,ARG,2011,18871.50
Argentina,ARG,2012,19399.90
Argentina,ARG,2013,19893.03
Argentina,ARG,2014,19572.09
Argentina,ARG,2015,19724.45
Argentina,ARG,2016,19620.82
Argentina,ARG,2017,19241.66
Argentina,ARG,2018,18824.28
Argentina,ARG,2019,18101.03
Australia,AUS,1965,33870.33
Australia,AUS,1966,36528.60
Australia,AUS,1967,37788.02
Australia,AUS,1968,39070.43
Australia,AUS,1969,39608.02
Australia,AUS,1970,42147.60
Australia,AUS,1971,43270.25
Australia,AUS,1972,44626.90
Australia,AUS,1973,47047.97
Australia,AUS,1974,49206.76
Australia,AUS,1975,49249.74
Australia,AUS,1976,50637.98
Australia,AUS,1977,52831.22
Australia,AUS,1978,53400.32
Australia,AUS,1979,55070.08
Australia,AUS,1980,54950.34
Australia,AUS,1981,54640.81
Australia,AUS,1982,54051.60
Australia,AUS,1983,53534.37
Australia,AUS,1984,54962.51
Australia,AUS,1985,54402.77
Australia,AUS,1986,55415.20
Australia,AUS,1987,56099.68
Australia,AUS,1988,57694.24
Australia,AUS,1989,59651.15
Australia,AUS,1990,59787.09
Australia,AUS,1991,58462.52
Australia,AUS,1992,58319.91
Australia,AUS,1993,59300.63
Australia,AUS,1994,61125.54
Australia,AUS,1995,62198.90
Australia,AUS,1996,63073.27
Australia,AUS,1997,64028.88
Australia,AUS,1998,64884.64
Australia,AUS,1999,67024.60
Australia,AUS,2000,66599.62
Australia,AUS,2001,66577.40
Australia,AUS,2002,66802.98
Australia,AUS,2003,66993.60
Australia,AUS,2004,68332.32
Australia,AUS,2005,66883.04
Australia,AUS,2006,69810.91
Australia,AUS,2007,69414.54
Australia,AUS,2008,69152.97
Australia,AUS,2009,66926.75
Australia,AUS,2010,65456.53
Australia,AUS,2011,65785.05
Australia,AUS,2012,64049.86
Australia,AUS,2013,63069.76
Australia,AUS,2014,63471.01
Australia,AUS,2015,63343.52
Australia,AUS,2016,62495.92
Australia,AUS,2017,61766.64
Australia,AUS,2018,61306.16
Australia,AUS,2019,64591.98
Austria,AUT,1965,19430.68
Austria,AUT,1966,20005.12
Austria,AUT,1967,20012.28
Austria,AUT,1968,21568.39
Austria,AUT,1969,23063.47
Austria,AUT,1970,25438.53
Austria,AUT,1971,26933.44
Austria,AUT,1972,27794.05
Austria,AUT,1973,29539.75
Austria,AUT,1974,28298.27
Austria,AUT,1975,27585.97
Austria,AUT,1976,30111.45
Austria,AUT,1977,28533.11
Austria,AUT,1978,30209.80
Austria,AUT,1979,31390.84
Austria,AUT,1980,30853.66
Austria,AUT,1981,28968.46
Austria,AUT,1982,27619.28
Austria,AUT,1983,27619.74
Austria,AUT,1984,28667.66
Austria,AUT,1985,29125.77
Austria,AUT,1986,28976.03
Austria,AUT,1987,29648.61
Austria,AUT,1988,28906.79
Austria,AUT,1989,29102.41
Austria,AUT,1990,30912.21
Austria,AUT,1991,32817.72
Austria,AUT,1992,30541.18
Austria,AUT,1993,30371.79
Austria,AUT,1994,30319.60
Austria,AUT,1995,31530.14
Austria,AUT,1996,32636.01
Austria,AUT,1997,32788.92
Austria,AUT,1998,33052.31
